time,N1,N2,P
38,0.0723031379524856,0.680747090535391,0.283040500377306
38.5,0.0722174961025219,0.681370325192531,0.282618720837981
39,0.072145015239909,0.681951320570133,0.282221713435399
39.5,0.0720847675241639,0.682492150889218,0.281848512040639
40,0.072035872711401,0.682994799914222,0.281498173770827
40.5,0.0719974957472258,0.683461166944134,0.281169778425531
41,0.0719688445366729,0.683893072062677,0.280862428022908
41.5,0.0719491678756803,0.684292260759045,0.280575246414699
42,0.0719377535296338,0.684660408013032,0.280307378963426
42.5,0.0719339264455232,0.684999121923468,0.280057992268531
43,0.0719370470852207,0.685309946946439,0.279826273930836
43.5,0.0719465098683236,0.685594366799306,0.279611432346855
44,0.0719617417138994,0.685853807077866,0.279412696526091
44.5,0.0719822006713263,0.68608963762674,0.279229315925791
45,0.0720073746312408,0.686303174697024,0.279060560298585
45.5,0.0720367801083821,0.686495682920199,0.278905719549266
46,0.072069961088863,0.686668377123111,0.278764103597523
46.5,0.0721064879350972,0.686822424005284,0.278635042243967
47,0.0721459563422747,0.686958943696915,0.278517885037116
47.5,0.0721879863408982,0.687079011213371,0.278412001139323
48,0.072232221340478,0.687183657819978,0.278316779189871
48.5,0.0722783272100327,0.687273872319023,0.278231627163648
49,0.0723259913915466,0.687350602269449,0.278155972223983
49.5,0.0723749220430147,0.687414755148348,0.278089260568388
50,0.0724248472081408,0.687467199462259,0.278030957266065
50.5,0.0724755140101581,0.687508765815269,0.277980546086183
51,0.0725266878676156,0.687540247940058,0.27793752931603
51.5,0.0725781517303089,0.687562403697231,0.277901427568298
52,0.0726297053338423,0.687575956047647,0.277871779576831
52.5,0.0726811644715893,0.687581594001769,0.277848141980323
53,0.0727323602830628,0.687579973549588,0.277830089093554
53.5,0.072783138557933,0.687571718574093,0.277817212665858
54,0.0728333590551234,0.687557421750878,0.277809121626648
54.5,0.072882894836587,0.687537645436016,0.277805441817937
55,0.0729316316155131,0.687512922543988,0.277805815713878
55.5,0.0729794671188406,0.687483757417083,0.277809902127504
56,0.073026310464058,0.687450626687419,0.277817375904888
56.5,0.0730720815503589,0.687413980132411,0.277827927607114
57,0.073116710464287,0.687374241524289,0.277841263180468
57.5,0.0731601369000621,0.687331809474027,0.277857103615427
58,0.0732023095948102,0.687287058269846,0.277875184595021
58.5,0.0732431857789518,0.687240338710272,0.277895256133288
59,0.0732827306420086,0.687191978931566,0.277917082204561
59.5,0.0733209168140973,0.68714228522921,0.277940440364407
60,0.0733577238633644,0.687091542873013,0.277965121363081
60.5,0.0733931378096074,0.687040016915297,0.277990928752395
61,0.0734271506542994,0.686987952991535,0.278017678486941
61.5,0.0734597599272094,0.68693557811276,0.278045198520635
62,0.0734909682497752,0.686883101448998,0.278073328399552
62.5,0.0735207829153514,0.686830715102946,0.278101918852044
63,0.073549215486411,0.686778594873098,0.278130831377129
63.5,0.0735762814087423,0.686726901005489,0.278159937832136
64,0.0736019996426363,0.686675778933263,0.278189120020571
64.5,0.0736263923110171,0.686625360003246,0.278218269281153
65,0.0736494843644252,0.686575762188735,0.278247286078957
65.5,0.07367130326272,0.686527090787765,0.27827607959955
66,0.0736918786733261,0.686479439106103,0.278304567346978
66.5,0.0737112421858093,0.686432889124307,0.278332674746439
67,0.073729427042527,0.686387512148216,0.278360334752409
67.5,0.0737464678850672,0.686343369442266,0.278387487462958
68,0.07376240051615,0.68630051284513,0.278414079740946
68.5,0.0737772616766415,0.686258985367191,0.278440064842724
69,0.0737910888372966,0.686218821769449,0.278465402054936
69.5,0.0738039200048261,0.686180049123505,0.278490056339937
70,0.073815793541859,0.686142687352336,0.278513997990322
70.5,0.0738267480003521,0.686106749751648,0.278537202292971
71,0.0738368219679843,0.686072243491621,0.278559649202998
71.5,0.0738460539270564,0.686039170098969,0.278581323027912
72,0.0738544821254105,0.686007525919253,0.278602212122259
72.5,0.0738621444588716,0.685977302559475,0.278622308592964
73,0.0738690783647109,0.685948487311022,0.278641608015544
